FID,BLOCKID10,HOUSING10,POP10,X,Y
"7,422",420032703002009,37,66,"1,331,735.935839999900000","425,653.739829000030000"
"7,423",420039812001002,0,0,"1,340,095.984940000100000","414,383.916005000010000"
"7,424",420035632001021,0,0,"1,344,002.761900000000000","414,962.440979000010000"
"7,425",420035632001001,4,10,"1,343,932.232349999900000","415,676.665146999990000"
"7,426",420035632001047,0,0,"1,342,384.178340000100000","414,538.959758999990000"
"7,427",420035632001032,232,268,"1,342,525.250830000000000","414,312.119324999980000"
"7,428",420032703001018,58,155,"1,332,248.376960000000000","424,847.497642999980000"
"7,429",420032708002016,52,94,"1,334,662.514690000100000","426,023.789396999990000"
"7,430",420032412001005,32,49,"1,345,193.738780000000000","423,646.915016999990000"
"7,431",420039806001007,0,0,"1,333,375.310130000100000","417,861.910406999990000"
"7,432",420032602001008,0,0,"1,339,573.479330000000000","430,766.640797999980000"
"7,433",420039806001008,2,4,"1,333,511.099510000100000","416,419.870618999990000"
"7,434",420032107002005,4,13,"1,334,971.750040000100000","418,363.957448999980000"
"7,435",420032609001036,47,86,"1,341,544.883530000000000","424,705.390904999980000"
"7,436",420032607001005,110,241,"1,339,897.253030000000000","426,317.831146000010000"
"7,437",420032612001014,0,0,"1,339,577.102089999900000","431,034.242900000010000"
"7,438",420035627002007,1,21,"1,340,048.631710000100000","416,061.841805999980000"
"7,439",420039812001028,0,0,"1,337,966.421580000100000","414,264.614552000010000"
"7,440",420032412001009,4,12,"1,344,324.333690000000000","424,593.368231999980000"
"7,441",420032708003025,24,58,"1,333,330.233190000100000","427,810.647165999980000"
"7,442",420032602001011,119,282,"1,339,073.356450000100000","429,289.576161000000000"
"7,443",420032615002025,0,0,"1,336,233.660330000100000","421,933.610599000010000"
"7,444",420032615001002,28,52,"1,339,937.970419999900000","424,087.103644000020000"
"7,445",420032614001028,0,0,"1,337,752.367720000000000","419,847.871828000000000"
"7,446",420032620003004,8,22,"1,342,882.770340000000000","423,458.566610999990000"
"7,447",420035627002013,0,0,"1,340,389.982880000000000","415,736.961518000000000"
"7,448",420039806001021,0,0,"1,335,359.015300000100000","414,611.103766000010000"
"7,449",420032703002016,12,36,"1,332,022.023520000000000","424,475.330605000020000"
"7,450",420032703002010,10,24,"1,331,919.600790000100000","424,871.630543000010000"
"7,451",420032708003021,6,8,"1,333,587.630230000000000","428,393.686273000030000"
"7,452",420032701001025,11,24,"1,332,779.215840000000000","426,600.230978999990000"
"7,453",420032708002004,17,29,"1,333,938.590989999900000","427,120.680582000000000"
"7,454",420032703001005,27,58,"1,333,473.937570000100000","426,020.303118999990000"
"7,455",420032703001012,14,23,"1,332,877.730900000100000","425,034.323684000000000"
"7,456",420032703001010,2,6,"1,333,098.822459999900000","424,812.860920000010000"
"7,457",420032715003005,31,66,"1,333,456.543809999900000","423,288.493846000000000"
"7,458",420032715002024,5,8,"1,335,165.605260000100000","422,652.000317000030000"
"7,459",420032406001048,0,0,"1,344,585.961339999900000","416,101.772195999980000"
"7,460",420032406002000,28,36,"1,347,351.008829999900000","420,647.714138999990000"
"7,461",420032406001010,46,84,"1,348,120.458980000100000","421,419.906831000000000"
"7,462",420032406002019,37,64,"1,346,683.516950000100000","419,028.910695000030000"
"7,463",420032406002021,25,46,"1,346,364.207140000100000","418,605.743499999980000"
"7,464",420032406001017,71,136,"1,348,374.820259999900000","420,847.321660000020000"
